2020
 Wednesday, August 19  19:30 - 20:45 CS147 Lecture
 Thursday, August 20  9:00 - 10:15 CS100W Lecture 
 Thursday, August 20  10:30 - 11:45 CS151 Lecture
 Thursday, August 20  15:00 - 16:00 MATH177 Office Hours
 Monday, August 24  19:30 - 20:45 CS147 Lecture
 Tuesday, August 25  9:00 - 10:15 CS100W Lecture 
 Tuesday, August 25  10:30 - 11:45 CS151 Lecture
 Tuesday, August 25  15:00 - 16:00 MATH177 Office Hours
 Wednesday, August 26  19:30 - 20:45 CS147 Lecture
 Thursday, August 27  9:00 - 10:15 CS100W Lecture 
 Thursday, August 27  10:30 - 11:45 CS151 Lecture
 Thursday, August 27  15:00 - 16:00 MATH177 Office Hours
 Monday, August 31  19:30 - 20:45 CS147 Lecture
 Tuesday, September 1  9:00 - 10:15 CS100W Lecture 
 Tuesday, September 1  10:30 - 11:45 CS151 Lecture
 Tuesday, September 1  15:00 - 16:00 MATH177 Office Hours
 Wednesday, September 2  19:30 - 20:45 CS147 Lecture
 Thursday, September 3  9:00 - 10:15 CS100W Lecture 
 Thursday, September 3  10:30 - 11:45 CS151 Lecture
 Thursday, September 3  15:00 - 16:00 MATH177 Office Hours
 Monday, September 7  19:30 - 20:45 CS147 Lecture
 Tuesday, September 8  9:00 - 10:15 CS100W Lecture 
 Tuesday, September 8  10:30 - 11:45 CS151 Lecture
 Tuesday, September 8  15:00 - 16:00 MATH177 Office Hours
 Wednesday, September 9  19:30 - 20:45 CS147 Lecture
 Thursday, September 10  9:00 - 10:15 CS100W Lecture 
 Thursday, September 10  10:30 - 11:45 CS151 Lecture
 Thursday, September 10  15:00 - 16:00 MATH177 Office Hours
 Monday, September 14  19:30 - 20:45 CS147 Lecture
 Tuesday, September 15  9:00 - 10:15 CS100W Lecture 
 Tuesday, September 15  10:30 - 11:45 CS151 Lecture
 Tuesday, September 15  15:00 - 16:00 MATH177 Office Hours
 Wednesday, September 16  19:30 - 20:45 CS147 Lecture
 Thursday, September 17  9:00 - 10:15 CS100W Lecture 
 Thursday, September 17  10:30 - 11:45 CS151 Lecture
 Thursday, September 17  15:00 - 16:00 MATH177 Office Hours
 Thursday, October 8  19:00 - 20:00 Dinner at Smith's
 Monday, November 9  13:45 - 16:30 Hair Treatment Appointment
 Tuesday, November 10  12:00 - 13:00 Pick Laundry
 Tuesday, November 10  14:00 - 14:30 Driving test 
2021
 Tuesday, August 24  16:30 - 17:45 CS123B Lecture
 Thursday, August 26  16:30 - 17:45 CS123B Lecture
 Tuesday, August 31  16:30 - 17:45 CS123B Lecture
 Thursday, September 2  16:30 - 17:45 CS123B Lecture
 Tuesday, September 7  16:30 - 17:45 CS123B Lecture
 Thursday, September 9  16:30 - 17:45 CS123B Lecture
 Tuesday, September 14  16:30 - 17:45 CS123B Lecture
 Thursday, September 16  16:30 - 17:45 CS123B Lecture

